,query,knnrec1,knnrec2,knnrec3,knnrec4,knnrec5,knnrec6,knndist1,knndist2,knndist3,knndist4,knndist5,knndist6,lshrec1,lshrec2,lshrec3,lshrec4,lshrec5,lshrec6
0,7562104793,7562104793,7562104702,7564090148,7564087671,7556688071,7549656205,0.0,0.0,0.32863553469555173,0.3388919361199938,0.34297198832015985,0.3516919966661064,7563855761,7564564107,7565410111,7564580384,7552753648,7560034704
0,7562104702,7562104793,7562104702,7564090148,7564087671,7556688071,7549656205,0.0,0.0,0.32863553469555173,0.3388919361199938,0.34297198832015985,0.3516919966661064,7563855761,7564564107,7565410111,7564580384,7552753648,7560034704
0,7565695339,7562301648,7565695339,7565300536,7563460210,7563865526,7564906523,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,7563447612,7562734030,7563427409,,,
0,7565667427,7562646293,7562648118,7565668065,7562647419,7564840645,7562288084,0.0,0.0,0.0,0.0,0.0,0.0,7564423881,7564160634,7558175562,7562402463,7561678508,7554240494
0,7565673909,7565673909,7564549967,7565676662,7554891141,7553032191,7561971033,0.0,0.0,0.11034739785470515,0.16937439513974006,0.18505687754216293,0.1914301453576841,7552770295,7558845330,7565410111,7560785273,7563865526,7560627168
0,7565676662,7565676662,7553032191,7565673909,7564549967,7541021311,7564960178,2.220446049250313e-16,0.07084702834598022,0.11034739785470493,0.11034739785470493,0.11437533035598868,0.12344359645746372,7558722376,7563209728,7563538577,7559250668,7563059121,7564651480
0,7565666380,7562646293,7562648118,7565668065,7562647419,7564840645,7562288084,0.0,0.0,0.0,0.0,0.0,0.0,7564423881,7564160634,7558175562,7562402463,7561678508,7554240494
0,7565668065,7562646293,7562648118,7565668065,7562647419,7564840645,7562288084,0.0,0.0,0.0,0.0,0.0,0.0,7564423881,7564160634,7558175562,7562402463,7561678508,7554240494
0,7564773466,7564773466,7564773707,7546786784,7552298732,7560921727,7556877408,0.0,0.09576856783359189,0.16586714099627886,0.16932475735810026,0.18617359978293657,0.18617639068710712,7562551476,7564822426,7565651915,7565659070,7565658503,7554155943
0,7564773707,7564773707,7564773466,7546786784,7552298732,7560922083,7560921791,0.0,0.09576856783359189,0.14618616347083946,0.18770624585340445,0.19447806336746676,0.19797488297102117,7562551476,7565651915,7565652541,7563890602,7565659616,7554155943
0,7562402463,7562402463,7559237610,7546665552,7565652541,7562160883,7557871228,0.0,0.06507759264895074,0.10593170527461293,0.1454490227113845,0.16565462240879136,0.20636538989081932,7554765065,7564549967,7553980497,7561160623,7563489843,7563860049
0,7562646293,7562646293,7562648118,7565668065,7562647419,7564840645,7562288084,0.0,0.0,0.0,0.0,0.0,0.0,7564423881,7564160634,7558175562,7562402463,7561678508,7554240494
0,7562647419,7562646293,7562648118,7565668065,7562647419,7564840645,7562288084,0.0,0.0,0.0,0.0,0.0,0.0,7564423881,7564160634,7558175562,7562402463,7561678508,7554240494
0,7562648118,7562646293,7562648118,7565668065,7562647419,7564840645,7562288084,0.0,0.0,0.0,0.0,0.0,0.0,7564423881,7564160634,7558175562,7562402463,7561678508,7554240494
0,7561738077,7561738077,7559925463,7548570455,7547545835,7561482601,7565096399,0.0,0.32832282684461644,0.32865692154628146,0.34984500570651855,0.36927350072793086,0.39107562915033134,7564564107,7563720731,7560115311,7564095098,7564281066,7563563838
0,7565651915,7565651915,7563159530,7553307981,7559239074,7565652541,7558623281,0.0,0.008263162113064215,0.06833214952222322,0.08757377828450341,0.14321287076322597,0.16540641081167407,7560001897,7563132339,7560921764,7559804496,7564874109,7561278094
0,7565652541,7565652541,7559237610,7565651915,7562402463,7563159530,7546665552,1.1102230246251565e-16,0.10482136821687815,0.14321287076322586,0.1454490227113845,0.15547061213619262,0.1558222243216585,7560001897,7563132339,7564108070,7562727701,7563354682,7563860049
0,7563142561,7563142561,7561602670,7549273309,7551799969,7558127686,7562966526,0.0,0.021085026372937188,0.0988795844407292,0.13832275383247195,0.2067942221293243,0.22020238497639744,7565573200,7553998749,7564500743,7564989437,7563408715,7564346712
0,7565659070,7565659070,7565151597,7563282576,7565155963,7561482601,7565096399,2.220446049250313e-16,0.16632617846508868,0.1727645978512362,0.1854830968019514,0.24252389558443765,0.27276789821589464,7564091716,7565573200,7553998749,7564500743,7563883626,7564346712
0,7565659616,7561633528,7563438962,7564534684,7561907252,7565277525,7564200054,0.0,0.0,0.0,0.0,0.0,0.0,7561708566,,,,,
0,7565658503,7565658503,7554791676,7549536856,7551604166,7554792683,7563880722,1.1102230246251565e-16,0.10888206702681447,0.127559310030817,0.12995146384469047,0.1936281121424568,0.1980498477099869,7563548202,7561961394,7561809950,7554828362,7564989437,7563408715
0,7565656259,7565656259,7554953697,7546056562,7558972087,7565612050,7560086521,0.0,0.19355385634965694,0.20332895721408228,0.21741218828704434,0.2239943278768951,0.24262237963457978,7552770295,7558845330,7565410111,7560785273,7563865526,7560627168
0,7565646856,7565646856,7561629219,7565646591,7561592145,7561624149,7565647612,0.0,0.09536111191652241,0.1438260452694914,0.1516769094018544,0.15565619473128212,0.19118484537878822,7562471123,7554509444,7565667427,7565695339,7564805648,7563421785
0,7561602670,7561602670,7563142561,7549273309,7551799969,7558127686,7556499706,0.0,0.021085026372937188,0.09100981130342445,0.1260519975133092,0.19807466421594966,0.21176590674127138,7565573200,7553998749,7564500743,7564989437,7563408715,7564346712
0,7565647612,7565647612,7548992956,7565646856,7565646591,7561624149,7561592145,0.0,0.16417014536735075,0.19118484537878833,0.2158141564636029,0.23327517258246422,0.2424035714548639,7558722376,7563209728,7559250668,7565054478,7563059121,7564651480
0,7565646591,7565646591,7561624149,7561592145,7561629219,7565646856,7561634544,0.0,0.03352789439268555,0.11954618001575423,0.14271117990407012,0.14382604526949117,0.17158164479541405,7558722376,7554522787,7563209728,7559250668,7563059121,7564651480
0,7565644705,7565644705,7551206871,7549736290,7552253950,7565057640,7553702446,0.0,0.10823113845676502,0.11082197386176662,0.11298534149695727,0.11492427415403061,0.12134764240730023,7563855761,7562548827,7554016532,7564580384,7563023732,7563381379
0,7563481640,7563481640,7550963426,7551458505,7564582834,7557324649,7549289076,0.0,0.16836066549865802,0.1754758249468854,0.17648857883975977,0.18314872528869952,0.19977463925571504,7565436101,7565573200,7553998749,7564500743,7563643988,7564346712
0,7563489843,7563489843,7563489134,7557329509,7560680547,7557233184,7557615472,0.0,0.16649427910324255,0.16708262252903172,0.18371807017418484,0.1899246471404441,0.2292413863278816,7565302466,7565676662,7565515560,7564095098,7561278094,7564851732
0,7564651480,7564651480,7564000113,7557581820,7558475489,7565560931,7559688868,0.0,0.34146729007342735,0.3630039532128472,0.36948403602252433,0.3727651822528105,0.3756100627074924,7564564107,7562583008,7562648118,7561859932,7560034704,7554733142
0,7563121289,7565548873,7563421785,7556602192,7563121289,7565365159,7559776293,0.0,0.0,0.0,0.0,0.18153186668953403,0.20631589584151566,7561830060,7565302466,7565676662,7557415015,7565515560,7565647612
0,7562922759,7562661337,7554656633,7562922759,7547545835,7547611538,7561482601,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.12575590493981137,0.1833937527864027,0.22302175242262834,7565307296,7565120349,7556877408,7562763768,7556575702,7563563838
0,7562546352,7562546352,7565449954,7564618936,7553367683,7558477011,7559688868,0.0,0.16520468014627676,0.24629473260361456,0.2940057230506369,0.3100613844145522,0.34404493480605103,7564918060,7554770882,7565430507,7561418687,7556602192,7557968401
0,7565627600,7565627600,7557345752,7558175562,7552624044,7550029700,7549155619,0.0,0.2110048532646387,0.22580793299288393,0.323384275028905,0.3432700052881539,0.34929767693188696,7564423881,7564160634,7558175562,7562402463,7561678508,7554240494
0,7559903845,7559903845,7556537632,7562364906,7563284074,7557094727,7557785624,0.0,0.2517602159075364,0.35421293259511377,0.411247604510081,0.4177943490629933,0.44509602755700217,7561486617,7565080144,7563574965,7564500743,7565129151,7563866812
0,7560115741,7560115741,7557154479,7560401428,7565410111,7565612050,7561162556,0.0,0.176143233886769,0.20625543793327505,0.21182482246334566,0.21235418493115588,0.21421373206696226,7562471123,7564564107,7562583008,7557337361,7553980497,7562966526
0,7565610459,7565610459,7557785624,7560612573,7563735088,7553986589,7563284074,0.0,0.24649969581776865,0.27515775930254927,0.29080263601985024,0.30518335136964125,0.318572987259543,7562953527,7557329509,7552387918,7562827584,7557114698,7559237610
0,7565612050,7565612050,7546056562,7560115741,7562434777,7552831427,7565656259,1.1102230246251565e-16,0.09486288600891346,0.21235418493115588,0.214500109371751,0.2223689763836696,0.22399432787689533,7563283784,7564091716,7564773466,7560189966,7565465089,7565344429
0,7560612573,7560612573,7565610459,7563284074,7553986589,7550048519,7558165262,1.1102230246251565e-16,0.27515775930254927,0.3329624277941816,0.34428552368553,0.3718962540620834,0.37227328186192143,7563754069,7563495310,7561809950,7564493959,7564357716,7564851732
0,7561418687,7561859932,7561418687,7543238033,7552405967,7560138043,7564564507,0.0,0.0,0.18274849673263138,0.1981846870701337,0.21053225625370398,0.2357708071263943,7563983634,7564200054,7554935286,7559385650,,
0,7564495026,7564495026,7564493959,7563431884,7563459980,7552961242,7553443164,0.0,0.09506247779922083,0.12762129656441146,0.1998077769724751,0.20338799607689295,0.2743091512556646,7565612050,7565142463,7558621837,7560921764,7561859211,7563328819
0,7565573200,7565573200,7556341196,7561466881,7564805648,7556191663,7548003622,0.0,0.06215701131113782,0.12696019641076683,0.12809436947556396,0.14910255482193957,0.1812328427547123,7563283784,7563855761,7554016532,7564580384,7563023732,7563381379
0,7565561061,7565561061,7559478745,7559697618,7563284074,7558722376,7562471123,0.0,0.23853868102246434,0.2501198481156708,0.2772508361564724,0.294380749987067,0.318143563779515,7559802437,7562872727,7558845330,7564805648,7565070087,7555897582
0,7565560931,7565560931,7560349752,7565561061,7557581820,7562252036,7559478745,2.220446049250313e-16,0.24131178316379365,0.3355098741048499,0.3414372255264728,0.3540350981384166,0.3551774986323545,7563232871,7562684017,7562648118,7561859932,7561708566,7554733142
0,7557337361,7557337361,7561629219,7565646856,7561592145,7564876988,7554169402,0.0,0.11066184190271577,0.20379091637619706,0.20930091860967093,0.2189520240967051,0.2717342001907449,7562546352,7554509444,7564618936,7565560931,7554408552,7561001022
0,7565548873,7565548873,7563421785,7556602192,7563121289,7565365159,7559776293,0.0,0.0,0.0,0.0,0.18153186668953403,0.20631589584151566,7561830060,7565302466,7565676662,7557415015,7565515560,7565647612
0,7559250668,7559250668,7542832719,7554973257,7564497476,7541211939,7562008222,3.3306690738754696e-16,0.06358441779132729,0.06358441779132729,0.0812807328977232,0.0812807328977232,0.08390539461082824,7562551476,7565610459,7563455693,7556229244,7560574126,7565465089
